"department_key","department_code","department_name","department_type","clinical_flag","capacity_managed_flag","bed_applicable_flag","organization_key","organization_id","effective_start_date","effective_end_date","is_active","source_system"
"1","EMERGENCY","Emergency","Emergency","True","True","True","31","05fcf001-ab24-3d7d-85f7-f64942d82738","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"2","OUTPATIENT","Outpatient","Ambulatory","True","True","False","76","0fab3c4e-a028-39a6-b15a-be5a88b6aa2a","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"3","INPATIENT","Inpatient / Medical","Inpatient","True","True","True","173","2836d9ac-c6a6-39d1-8f13-fdf0fc8928f4","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"4","SURGERY","Surgery","Surgical","True","True","True","31","05fcf001-ab24-3d7d-85f7-f64942d82738","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"5","ICU","Intensive Care Unit","Inpatient","True","True","True","76","0fab3c4e-a028-39a6-b15a-be5a88b6aa2a","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"6","RADIOLOGY","Radiology","Diagnostic","True","True","False","173","2836d9ac-c6a6-39d1-8f13-fdf0fc8928f4","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"7","LABORATORY","Laboratory","Diagnostic","True","True","False","31","05fcf001-ab24-3d7d-85f7-f64942d82738","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"8","PHARMACY","Pharmacy","Clinical Support","True","True","False","76","0fab3c4e-a028-39a6-b15a-be5a88b6aa2a","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"9","ADMIN","Administration","Administrative","False","False","False","173","2836d9ac-c6a6-39d1-8f13-fdf0fc8928f4","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"10","FINANCE","Finance","Administrative","False","False","False","31","05fcf001-ab24-3d7d-85f7-f64942d82738","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"11","HR","Human Resources","Administrative","False","False","False","76","0fab3c4e-a028-39a6-b15a-be5a88b6aa2a","2023-08-01","","True","Hospital360 Enterprise Synthetic"
"12","IT","Information Technology","Technology","False","False","False","173","2836d9ac-c6a6-39d1-8f13-fdf0fc8928f4","2023-08-01","","True","Hospital360 Enterprise Synthetic"
